iter	RMSE
0	14.62556986
1	14.20023049
2	13.78438035
3	13.41298721
4	13.03767182
5	12.70513916
6	12.35607001
7	12.03636792
8	11.70958246
9	11.38090819
10	11.07559646
11	10.80236554
12	10.51679378
13	10.24939634
14	9.999564756
15	9.744761124
16	9.494206668
17	9.270603822
18	9.029188304
19	8.796188628
20	8.588720044
21	8.379606815
22	8.187319244
23	7.996702035
24	7.802405745
25	7.629383108
26	7.455334673
27	7.299579445
28	7.143941773
29	6.996434775
30	6.864177609
31	6.716282356
32	6.577413768
33	6.441972964
34	6.315747885
35	6.201326482
36	6.077882438
37	5.968061714
38	5.860588182
39	5.7508251
40	5.654445993
41	5.567614826
42	5.479163787
43	5.387833886
44	5.29912199
45	5.219813845
46	5.144498376
47	5.075482346
48	5.00641471
49	4.941279478
50	4.880531304
51	4.811904688
52	4.751464182
53	4.697749057
54	4.643457347
55	4.589378241
56	4.53989588
57	4.492086247
58	4.446282689
59	4.40243016
60	4.363791546
61	4.321195885
62	4.282353505
63	4.241648933
64	4.203047123
65	4.16659829
66	4.129146141
67	4.094356863
68	4.065492206
69	4.036519323
70	4.004087047
71	3.974173714
72	3.949958333
73	3.927367054
74	3.90369467
75	3.884443088
76	3.863670262
77	3.840506678
78	3.818577774
79	3.797450642
80	3.782092694
81	3.757676778
82	3.739751706
83	3.727964916
84	3.711043151
85	3.693758022
86	3.675453475
87	3.656579326
88	3.638080291
89	3.621991068
90	3.605822388
91	3.592337279
92	3.578558481
93	3.564988437
94	3.552953652
95	3.542898122
96	3.531214976
97	3.519783723
98	3.509697441
99	3.498878866
100	3.487556281
101	3.477613657
102	3.468342051
103	3.457200463
104	3.448425534
105	3.438427017
106	3.428635515
107	3.419446584
108	3.411008193
109	3.402338849
110	3.395562595
111	3.386920955
112	3.381808932
113	3.372861008
114	3.36718013
115	3.359927566
116	3.351457679
117	3.345656335
118	3.342274588
119	3.334241643
120	3.328588308
121	3.323749148
122	3.316663594
123	3.310418811
124	3.306144191
125	3.29959976
126	3.293963455
127	3.287321926
128	3.281542087
129	3.280843942
130	3.276698052
131	3.271279214
132	3.26696078
133	3.262132306
134	3.257414866
135	3.252159705
136	3.24871222
137	3.245246151
138	3.241740108
139	3.238141462
140	3.23302767
141	3.227271743
142	3.223051457
143	3.218533006
144	3.214440878
145	3.211184092
146	3.207062722
147	3.202999495
148	3.200349742
149	3.196457151
150	3.194019927
151	3.191147916
152	3.186879531
153	3.183106338
154	3.180022223
155	3.176021103
156	3.173035068
157	3.169334707
158	3.166642605
159	3.163322731
160	3.16030932
161	3.158411843
162	3.154499212
163	3.151343174
164	3.150442205
165	3.146936807
166	3.144928236
167	3.142616653
168	3.140071231
169	3.136522728
170	3.134078087
171	3.130860045
172	3.127449708
173	3.125108477
174	3.122300117
175	3.121123595
176	3.120059704
177	3.116088418
178	3.113003181
179	3.109979082
180	3.108038584
181	3.105952745
182	3.102950518
183	3.100301039
184	3.098332872
185	3.096355938
186	3.095271692
187	3.093364952
188	3.091242174
189	3.087308145
190	3.084804208
191	3.082924782
192	3.082594762
193	3.081618013
194	3.081273788
195	3.078854477
196	3.076826827
197	3.074985646
198	3.07260727
199	3.069982448
200	3.068716198
201	3.063886073
202	3.060134505
203	3.058347575
204	3.057266222
205	3.055135592
206	3.051060253
207	3.05006203
208	3.048559837
209	3.047371927
210	3.042711344
211	3.041048697
212	3.040649068
213	3.038999783
214	3.038234201
215	3.034652392
216	3.031545507
217	3.029793671
218	3.029245976
219	3.027811916
220	3.026832707
221	3.024767309
222	3.022768756
223	3.022225603
224	3.019770027
225	3.019084178
226	3.017494741
227	3.016788536
228	3.01534945
229	3.014418523
230	3.014011179
231	3.012640974
232	3.010018181
233	3.009055761
234	3.008438695
235	3.008051504
236	3.004948549
237	3.002868937
238	3.000835904
239	2.999228619
240	2.996600508
241	2.994356467
242	2.991434381
243	2.991011897
244	2.988425895
245	2.987742565
246	2.986874361
247	2.985500076
248	2.984947428
249	2.981085201
250	2.980276636
251	2.979909484
252	2.979379589
253	2.977868198
254	2.976269969
255	2.974590234
256	2.971344494
257	2.969066865
258	2.968761778
259	2.967044729
260	2.965199088
261	2.965074143
262	2.964911427
263	2.964182565
264	2.96390129
265	2.960841859
266	2.959602913
267	2.95928325
268	2.955619402
269	2.955474071
270	2.953506849
271	2.952529465
272	2.951060346
273	2.950745745
274	2.949246897
275	2.948699445
276	2.947730808
277	2.946636359
278	2.946458939
279	2.940547271
280	2.940382128
281	2.937078108
282	2.932664331
283	2.929374753
284	2.925991159
285	2.921734082
286	2.919943099
287	2.917164107
288	2.912822511
289	2.910902844
290	2.908050443
291	2.905590856
292	2.90323142
293	2.899542683
294	2.899336018
295	2.899199825
296	2.896318585
297	2.893911451
298	2.893715871
299	2.89117803
300	2.89102015
301	2.89042547
302	2.889969076
303	2.889778275
304	2.889579412
305	2.885246146
306	2.882846383
307	2.881216023
308	2.879634245
309	2.874665663
310	2.873056049
311	2.871668703
312	2.8710085
313	2.867629022
314	2.865747999
315	2.863456847
316	2.862208569
317	2.860929514
318	2.860417098
319	2.857354993
320	2.853434251
321	2.853051757
322	2.850019318
323	2.847039496
324	2.843562762
