iter	Passed	Remaining
0	1	1111
1	1	714
2	2	780
3	2	667
4	3	617
5	3	573
6	3	541
7	4	518
8	4	495
9	4	482
10	5	488
11	5	489
12	6	491
13	6	483
14	7	479
15	7	466
16	8	466
17	8	462
18	8	459
19	9	451
20	9	465
21	10	465
22	10	464
23	11	462
24	11	455
25	12	454
26	12	453
27	13	451
28	13	447
29	13	450
30	14	448
31	14	448
32	15	447
33	15	448
34	16	447
35	16	448
36	17	447
37	17	445
38	18	443
39	18	441
40	18	440
41	19	435
42	19	431
43	19	428
44	20	426
45	20	422
46	20	419
47	21	418
48	21	417
49	21	417
50	22	418
51	22	417
52	23	416
53	23	414
54	24	413
55	24	412
56	24	412
57	25	411
58	25	412
59	26	411
60	26	412
61	27	412
62	27	409
63	28	410
64	28	411
65	29	410
66	29	409
67	29	410
68	30	408
69	30	408
70	31	407
71	31	405
72	31	406
73	32	405
74	32	404
75	33	401
76	33	402
77	33	400
78	34	401
79	34	402
80	35	403
81	36	403
82	36	403
83	36	400
84	37	399
85	37	397
86	37	397
87	38	397
88	38	397
89	39	397
90	39	396
91	40	396
92	40	396
93	41	396
94	41	396
95	42	396
96	42	396
97	43	395
98	43	394
99	43	392
100	43	391
101	44	390
102	44	390
103	45	390
104	45	390
105	46	388
106	46	387
107	46	387
108	47	387
109	47	386
110	48	385
111	48	385
112	48	384
113	49	383
114	49	382
115	50	382
116	50	382
117	51	381
118	51	378
119	51	378
120	51	377
121	52	376
122	52	376
123	53	375
124	53	376
125	54	375
126	54	374
127	54	374
128	55	373
129	55	371
130	55	370
131	56	369
132	56	368
133	57	368
134	57	367
135	57	366
136	58	365
137	58	365
138	58	364
139	59	364
140	59	364
141	60	363
142	61	366
143	62	370
144	62	370
145	63	368
146	63	368
147	64	368
148	64	367
149	64	367
150	65	367
151	65	367
152	66	367
153	66	366
154	67	365
155	67	365
156	67	363
157	68	363
158	68	363
159	69	362
160	69	362
161	70	362
162	70	361
163	70	360
164	71	359
165	71	359
166	72	359
167	72	358
168	73	358
169	73	358
170	73	358
171	74	357
172	74	357
173	75	356
174	75	356
175	76	356
176	76	355
177	77	355
178	77	355
179	78	357
180	78	356
181	79	355
182	79	355
183	80	354
184	80	353
185	80	353
186	80	352
187	81	351
188	81	350
189	82	350
190	82	350
191	83	349
192	83	348
193	83	348
194	84	347
195	84	345
196	84	344
197	84	344
198	85	343
199	85	343
200	86	343
201	86	342
202	87	341
203	87	340
204	87	339
205	88	339
206	88	338
207	88	338
208	89	337
209	89	337
210	90	338
211	90	337
212	91	336
213	91	335
214	91	335
215	92	335
216	92	334
217	92	333
218	93	332
219	93	331
220	93	330
221	94	330
222	94	330
223	95	329
224	95	329
225	96	329
226	96	328
227	96	327
228	97	326
229	97	326
230	97	326
231	98	325
232	98	325
233	99	324
234	99	324
235	100	323
236	100	323
237	100	323
238	101	323
239	101	322
240	102	321
241	102	321
242	102	320
243	103	320
244	103	319
245	104	318
246	104	318
247	104	317
248	105	317
249	105	317
250	105	316
251	106	316
252	106	315
253	107	314
254	107	314
255	108	314
256	108	314
257	108	313
258	109	312
259	109	311
260	109	311
261	110	310
262	110	310
263	111	309
264	111	308
265	111	308
266	112	308
267	112	307
268	113	307
269	113	306
270	113	305
271	114	305
272	114	304
273	114	304
274	115	304
275	115	303
276	116	303
277	116	303
278	117	302
279	117	302
280	117	301
281	118	300
282	118	300
283	118	299
284	119	299
285	119	298
286	120	298
287	120	298
288	121	297
289	121	297
290	121	296
291	122	296
292	122	295
293	123	296
294	123	295
295	123	294
296	124	294
297	124	293
298	125	293
299	125	292
300	125	292
301	126	291
302	126	291
303	127	290
304	127	290
305	127	289
306	128	289
307	128	288
308	128	288
309	130	289
310	130	289
311	130	288
312	131	288
313	131	287
314	132	287
315	132	287
316	132	286
317	133	285
318	133	285
319	134	284
320	134	284
321	134	284
322	135	283
323	135	283
324	136	282
325	136	282
326	136	281
327	137	281
328	137	280
329	137	280
330	138	279
331	138	278
332	138	278
333	139	278
334	139	277
335	140	277
336	140	277
337	141	277
338	142	277
339	142	276
340	142	276
341	143	275
342	143	275
343	144	274
344	144	274
345	144	273
346	145	273
347	145	272
348	146	272
349	146	272
350	146	271
351	147	271
352	147	270
353	148	270
354	148	270
355	149	269
356	149	269
357	149	268
358	149	267
359	150	267
360	150	266
361	151	266
362	151	265
363	151	265
364	152	264
365	152	264
366	153	264
367	153	264
368	154	263
369	154	263
370	155	263
371	155	262
372	156	262
373	156	262
374	156	261
375	157	261
376	158	261
377	158	260
378	158	260
379	159	259
380	159	259
381	160	258
382	160	258
383	161	258
384	161	258
385	162	257
386	162	257
387	162	257
388	163	256
389	163	256
390	164	255
391	164	255
392	165	255
393	165	254
394	165	254
395	166	254
396	167	253
397	167	253
398	167	252
399	167	251
400	168	251
401	169	251
402	169	251
403	169	250
404	170	250
405	170	250
406	171	249
407	172	249
408	172	249
409	172	248
410	173	248
411	173	248
412	174	247
413	174	247
414	175	247
415	175	246
416	176	246
417	176	245
418	176	245
419	177	245
420	177	244
421	178	244
422	178	243
423	179	243
424	179	242
425	179	242
426	180	242
427	180	241
428	181	241
429	181	240
430	181	239
431	182	239
432	183	240
433	183	239
434	184	238
435	184	238
436	184	238
437	185	238
438	185	237
439	186	237
440	186	236
441	187	236
442	187	236
443	188	235
444	188	235
445	189	234
446	189	234
447	189	233
448	190	233
449	190	233
450	191	232
451	191	232
452	191	231
453	192	231
454	192	230
455	193	230
456	193	230
457	194	229
458	194	229
459	194	228
460	195	228
461	195	227
462	196	227
463	196	226
464	196	226
465	197	225
466	197	225
467	197	224
468	198	224
469	198	223
470	198	223
471	199	222
472	199	222
473	199	221
474	200	221
475	200	221
476	201	220
477	201	220
478	202	219
479	202	219
480	202	218
481	202	218
482	203	217
483	203	217
484	204	216
485	204	216
486	205	216
487	205	215
488	206	215
489	206	215
490	207	214
491	207	214
492	207	213
493	208	213
494	208	212
495	208	212
496	209	211
497	209	211
498	209	210
499	210	210
500	210	209
501	210	209
502	211	208
503	211	208
504	211	207
505	212	207
506	212	206
507	213	206
508	213	205
509	213	205
510	214	205
511	214	204
512	215	204
513	215	204
514	216	203
515	216	203
516	217	202
517	217	202
518	217	201
519	218	201
520	218	201
521	219	200
522	219	200
523	220	199
524	220	199
525	220	199
526	221	198
527	221	198
528	222	197
529	222	197
530	223	197
531	223	196
532	223	196
533	224	195
534	224	195
535	225	194
536	225	194
537	225	193
538	226	193
539	226	192
540	226	192
541	227	191
542	227	191
543	227	190
544	228	190
545	228	190
546	228	189
547	229	189
548	229	188
549	230	188
550	230	187
551	230	187
552	231	187
553	231	186
554	232	186
555	232	185
556	233	185
557	233	185
558	233	184
559	234	184
560	234	183
561	235	183
562	235	182
563	236	182
564	236	182
565	236	181
566	237	181
567	237	180
568	237	180
569	238	179
570	238	179
571	239	178
572	239	178
573	239	178
574	240	177
575	240	177
576	241	176
577	241	176
578	242	176
579	242	175
580	243	175
581	243	175
582	244	174
583	244	174
584	245	173
585	245	173
586	245	173
587	246	172
588	246	172
589	247	171
590	247	171
591	248	170
592	248	170
593	249	170
594	249	169
595	249	169
596	251	169
597	251	169
598	251	168
599	252	168
600	252	167
601	253	167
602	253	166
603	253	166
604	254	166
605	254	165
606	255	165
607	255	164
608	255	164
609	256	163
610	256	163
611	257	162
612	257	162
613	257	162
614	258	161
